              log_Mi              initial_q                     Pi                    M1f                    M2f                     Pf                 CaseBB      merge_fraction_NS    disrupt_fraction_NS      merge_fraction_BH    disrupt_fraction_BH   
        1.700000e+00           1.000000e-01           6.500000e-01           5.046055e+01           1.236959e+00           7.176205e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.750000e+00           1.000000e-01           7.000000e-01           5.658764e+01           1.424047e+00           7.020439e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        1.800000e+00           1.000000e-01           7.500000e-01           5.650995e+01           1.640635e+00           7.296668e+01           1.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           7.500000e-01           1.352042e+02           5.518171e+00           2.609872e+01           0.000000e+00           5.209880e-02           5.310714e-01           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           8.000000e-01           1.352618e+02           5.518994e+00           2.611902e+01           0.000000e+00           5.209880e-02           5.310714e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           8.000000e-01           1.507416e+02           6.497307e+00           2.338463e+01           0.000000e+00           6.009145e-02           4.967747e-01           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           8.500000e-01           1.335674e+02           5.523238e+00           2.662637e+01           0.000000e+00           5.084689e-02           5.374624e-01           0.000000e+00           0.000000e+00   
        2.200000e+00           1.000000e-01           8.500000e-01           1.510536e+02           6.498169e+00           2.342058e+01           0.000000e+00           5.999519e-02           4.967747e-01           0.000000e+00           0.000000e+00   
        2.250000e+00           1.000000e-01           8.500000e-01           1.692516e+02           7.631964e+00           1.967758e+01           0.000000e+00           7.085823e-02           4.493785e-01           0.000000e+00           0.000000e+00   
        2.300000e+00           1.000000e-01           8.500000e-01           1.874272e+02           8.984004e+00           1.750903e+01           0.000000e+00           7.853208e-02           4.162011e-01           0.000000e+00           0.000000e+00   
        2.150000e+00           1.000000e-01           9.000000e-01           1.344732e+02           5.523175e+00           2.670225e+01           0.000000e+00           5.090229e-02           5.362972e-01           0.000000e+00           0.000000e+00   
