                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      7.0794578438399995E+001      3.1622776600000039E-004      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot               log_total_angular_momentum                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          runtime_minutes                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                              lg_mdot_edd                             mdot_edd_eta                  lg_accretion_luminosity                                  bh_spin                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  2.3713737056628132E+000                  7.0794578438399995E+001                  3.7500000000021205E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2629950259728354E+001                  7.4313040329932045E-001                  7.8131760271964985E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131760271964985E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3828485141332083E+034                  7.8019687739231974E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8071177750689174E+000                 -2.3184142329214584E+001                 -9.9339898569113778E+000                  5.8071177750689174E+000                  4.7151939028315688E+000                  6.6454462766011083E+005                  5.8225241514122725E+000                  1.0041331064956243E+000                  4.2796231404217915E+000                  1.9038079692403429E+004                  1.9827817963882795E+019                  6.0602276524944314E-005                  1.1644857824955021E-004                  5.2042255046069785E-001                  4.2454844910002583E+002                  5.3600887139767345E+001                  7.6520637499034843E+000                  4.1198573262882654E-001                  1.6422460680545814E+001                  5.9405738939835340E-001                  8.7569129992325800E-001                  1.2292909237270995E+000                  7.5138259981226430E-001                  2.4830083784375606E-001                  5.2406457814989429E-005                  1.4799721253839785E-004                  7.5138293947899992E-001                  2.4830083275499973E-001                  5.4416641745078582E-005                  1.5940386252035140E-005                  1.4800165599888201E-004                  5.3193820996330750E+001                  1.7578353041280078E+001                  1.9213527398341617E+000                  5.8070612751888806E+000                 -2.3184142329214584E+001                 -4.5634061103353840E-009                                        0                                        0                  2.1428833333333333E+000                  1.0000000000000000E+000                  2.3713737056628132E+000                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6335605435708448E-002                 -2.4278510157370953E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                 -2.6341197328807985E+038                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.8613160966087676E+000                  7.0794578438399995E+001                  3.9618929907015021E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2614402154798420E+001                  7.4313040329932045E-001                  7.8131760216340358E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131760216340358E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3509646497834031E+034                  7.7774716610844375E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7920391555484665E+000                 -2.3183751311677618E+001                 -9.8999999999999986E+001                  5.7920391555484665E+000                  4.7151976291912376E+000                  6.6455073734650807E+005                  5.8225281442079115E+000                  1.0041276501741068E+000                  4.2796340530648269E+000                  1.9038558073747430E+004                  1.9827898016495436E+019                  6.0604043840509556E-005                  1.1645067793676330E-004                  5.2042834344528544E-001                  4.2455549655235967E+002                  5.3600886344126934E+001                  7.6520714057499362E+000                  4.1200897973615308E-001                  1.6422491553676224E+001                  5.9405721233697950E-001                  8.7569114204104148E-001                  1.2292913988576797E+000                  7.5138228401375984E-001                  2.4830084324088633E-001                  5.0541463265421104E-005                  1.4799294642446397E-004                  7.5138293947899881E-001                  2.4830083275499970E-001                  5.4416641745078582E-005                  1.5940386252035140E-005                  1.4800165599888199E-004                  5.3193803302896548E+001                  1.7578353340479129E+001                  1.9277185507855075E+000                  5.7919797956176424E+000                 -2.3183751311677618E+001                 -1.9878083244884648E-008                                        0                                        0                  2.1658833333333334E+000                  2.0000000000000000E+000                  4.8613160966087676E+000                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6322585365276834E-002                 -2.4282871702130445E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  9.3682367602291648E+039                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  9.6316487335172451E+039                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.4757556071020206E+000                  7.0794578438399995E+001                  4.1737859814008832E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2592673692436740E+001                  7.4230288957727975E-001                  7.8131760048773577E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131760048773577E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3176613254726922E+034                  7.7518366555942990E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7763413527682745E+000                 -2.3183145715263258E+001                 -9.6329598612473966E+000                  5.7763413527682745E+000                  4.7152032245749318E+000                  6.6455889119652135E+005                  5.8225334728459579E+000                  1.0041191237257399E+000                  4.2796511059615607E+000                  1.9039305651606384E+004                  1.9828010522684535E+019                  6.0606766483485130E-005                  1.1645393777515803E-004                  5.2043715499035814E-001                  4.2456623756346409E+002                  5.3600884485875241E+001                  7.6520832626582251E+000                  4.1204499625293139E-001                  1.6422539414351728E+001                  5.9405685713295397E-001                  8.7569098253682875E-001                  1.2292918786088702E+000                  7.5138196496989362E-001                  2.4830084938431438E-001                  4.8661345624843531E-005                  1.4798847583544843E-004                  7.5138293947899992E-001                  2.4830083275499976E-001                  5.4416641745078582E-005                  1.5940386252035154E-005                  1.4800165599888199E-004                  5.3193785388394950E+001                  1.7578353681911931E+001                  1.9342715744333479E+000                  5.7762788720846130E+000                 -2.3183145715263258E+001                 -2.9582951101724516E-008                                        0                                        0                  2.1888000000000001E+000                  3.0000000000000000E+000                  7.4757556071020206E+000                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6302239575392574E-002                 -2.4290517083235128E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  2.1271793231078172E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  2.1535205204366252E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.0220917093119937E+001                  7.0794578438399995E+001                  4.3856789721002643E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2562103899316853E+001                  7.4230288957727963E-001                  7.8131759882941533E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131759882941533E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2827663061687480E+034                  7.7249479653020576E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7599553140930499E+000                 -2.3182303036438991E+001                 -9.8999999999999986E+001                  5.7599553140930499E+000                  4.7152108734778109E+000                  6.6456952218213223E+005                  5.8225404202234143E+000                  1.0041072996087121E+000                  4.2796747541956153E+000                  1.9040342409460089E+004                  1.9828222388800008E+019                  6.0610713066704774E-005                  1.1645846583666734E-004                  5.2045080813328226E-001                  4.2458232911576221E+002                  5.3600881021370071E+001                  7.6520997616882260E+000                  4.1209511456324810E-001                  1.6422606040961686E+001                  5.9405630516735664E-001                  8.7569082115605579E-001                  1.2292923637181910E+000                  7.5138164217140857E-001                  2.4830085635838378E-001                  4.6763539188797905E-005                  1.4798377603285191E-004                  7.5138293947899981E-001                  2.4830083275499976E-001                  5.4416641745078582E-005                  1.5940386252035140E-005                  1.4800165599888201E-004                  5.3193767279150727E+001                  1.7578354069424154E+001                  1.9410302520215119E+000                  5.7598894130635241E+000                 -2.3182303036438991E+001                 -3.9069369843761308E-008                                        0                                        0                  2.2117166666666668E+000                  4.0000000000000000E+000                  1.0220917093119937E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6274025557799412E-002                 -2.4301658190098170E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  3.8064631924570627E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  3.8328043897858707E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.3103336653438747E+001                  7.0794578438399995E+001                  4.5975719627996448E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2525999527317587E+001                  7.4147537585523904E-001                  7.8131759827755682E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131759827755682E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2463267426394531E+034                  7.6968443383663964E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7428726975872681E+000                 -2.3181199413365025E+001                 -9.8999999999999986E+001                  5.7428726975872681E+000                  4.7152208946931955E+000                  6.6458335814523429E+005                  5.8225494618957701E+000                  1.0040917780141201E+000                  4.2797057973847998E+000                  1.9041703453870068E+004                  1.9828414431566664E+019                  6.0615630974153617E-005                  1.1646441047608378E-004                  5.2046646983061529E-001                  4.2460161009842352E+002                  5.3600875316556611E+001                  7.6521213705561779E+000                  4.1216074373623529E-001                  1.6422693317334961E+001                  5.9405553603602712E-001                  8.7569065832213788E-001                  1.2292928528809541E+000                  7.5138131646512618E-001                  2.4830086422928238E-001                  4.4853516586957658E-005                  1.4797883959217955E-004                  7.5138293947899992E-001                  2.4830083275499976E-001                  5.4416641745078582E-005                  1.5940386252035137E-005                  1.4800165599888199E-004                  5.3193749002789758E+001                  1.7578354507097153E+001                  1.9479915252838329E+000                  5.7428030448858394E+000                 -2.3181199413365025E+001                 -4.8841984955970533E-008                                        0                                        0                  2.2346666666666670E+000                  5.0000000000000000E+000                  1.3103336653438747E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6236990001157134E-002                 -2.4316463618622549E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  5.9937758397309922E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  6.0201170370597998E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.6129877191773499E+001                  7.0794578438399995E+001                  4.8094649534990258E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2481726840153044E+001                  7.4064786213319844E-001                  7.8131759772186959E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131759772186959E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2081426192844029E+034                  7.6673510182937340E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7250448082027150E+000                 -2.3179808992756403E+001                 -9.8999999999999986E+001                  5.7250448082027150E+000                  4.7152335826741254E+000                  6.6460095822427399E+005                  5.8225609631106341E+000                  1.0040721526596925E+000                  4.2797450480936554E+000                  1.9043424484564319E+004                  1.9828556005692649E+019                  6.0621540008004222E-005                  1.1647191253143121E-004                  5.2048367984894495E-001                  4.2462382134597755E+002                  5.3600866638593367E+001                  7.6521485962724007E+000                  4.1224340930100689E-001                  1.6422803284213593E+001                  5.9405452799211533E-001                  8.7569049410408983E-001                  1.2292933458550799E+000                  7.5138098798898445E-001                  2.4830087308568838E-001                  4.2932624624618150E-005                  1.4797364708811803E-004                  7.5138293947899903E-001                  2.4830083275499976E-001                  5.4416641745078596E-005                  1.5940386252035144E-005                  1.4800165599888204E-004                  5.3193730589856067E+001                  1.7578354999329438E+001                  1.9551678175173317E+000                  5.7249710272582055E+000                 -2.3179808992756403E+001                 -5.8810932472875725E-008                                        0                                        0                  2.2576333333333332E+000                  6.0000000000000000E+000                  1.6129877191773499E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6190164495515278E-002                 -2.4335292235399368E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  8.7062237368677192E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  8.7325649341965267E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9307744757024988E+001                  7.0794578438399995E+001                  5.0213579441984058E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2430802663065649E+001                  7.3982034841115785E-001                  7.8131759772129387E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131759772129387E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1682053325156938E+034                  7.6364336802674950E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7064446223596264E+000                 -2.3178104355601434E+001                 -9.8999999999999986E+001                  5.7064446223596255E+000                  4.7152492420453003E+000                  6.6462285730606213E+005                  5.8225752731918545E+000                  1.0040479889579526E+000                  4.2797933754971353E+000                  1.9045543715879903E+004                  1.9828657106578657E+019                  6.0628592170662125E-005                  1.1648112025659339E-004                  5.2050307967362275E-001                  4.2464960166710404E+002                  5.3600854148301011E+001                  7.6521819767605921E+000                  4.1234472844528502E-001                  1.6422938106041393E+001                  5.9405325774303730E-001                  8.7569032880632469E-001                  1.2292938416883594E+000                  7.5138065735176252E-001                  2.4830088301279504E-001                  4.1005017339077898E-005                  1.4796818437523107E-004                  7.5138293947899981E-001                  2.4830083275499976E-001                  5.4416641745078582E-005                  1.5940386252035140E-005                  1.4800165599888201E-004                  5.3193712072804487E+001                  1.7578355550813910E+001                  1.9625628897408387E+000                  5.7063662899034648E+000                 -2.3178104355601434E+001                 -6.8957463515582998E-008                                        0                                        0                  2.2805833333333334E+000                  7.0000000000000000E+000                  1.9307744757024988E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6132513536114540E-002                 -2.4358596535872742E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  1.1957777797423386E+041                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  1.1984118994752194E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  2.2644505700539053E+001                  7.0794578438399995E+001                  5.2332509348977874E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2373192789503413E+001                  7.3899283468911703E-001                  7.8131759494519448E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131759494519448E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1264013323840587E+034                  7.6040864175637478E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6870433241793457E+000                 -2.3176056448934531E+001                 -9.2350198525753591E+000                  5.6870433241793465E+000                  4.7152681593477839E+000                  6.6464948085361882E+005                  5.8225926698674071E+000                  1.0040188526907627E+000                  4.2798516480315145E+000                  1.9048099370183078E+004                  1.9828686754247102E+019                  6.0636814272206865E-005                  1.1649218678876475E-004                  5.2052421381180147E-001                  4.2467871245116686E+002                  5.3600836893122512E+001                  7.6522220822622335E+000                  4.1246641376557519E-001                  1.6423100076222138E+001                  5.9405170060815782E-001                  8.7569016273995293E-001                  1.2292943394059888E+000                  7.5138032517563613E-001                  2.4830089410200160E-001                  3.9074965417393725E-005                  1.4796243597163473E-004                  7.5138293947899881E-001                  2.4830083275499976E-001                  5.4416641745078589E-005                  1.5940386252035137E-005                  1.4800165599888199E-004                  5.3193693485945957E+001                  1.7578356166555224E+001                  1.9701810333739438E+000                  5.6869599630287428E+000                 -2.3176056448934531E+001                 -7.9181192256978872E-008                                        0                                        0                  2.3035333333333332E+000                  8.0000000000000000E+000                  2.2644505700539053E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6063003048722016E-002                 -2.4386817701001963E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  1.5758658884055821E+041                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  1.5785000081384630E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.6148104691228820E+001                  7.0794578438399995E+001                  5.4451439255971679E-001                  3.5148678450560098E+001                 -9.8999999999999986E+001                                     2049                  5.2308394872731661E+001                  7.3815686211789633E-001                  7.8131759438954113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131759438954113E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0826577338858238E+034                  7.5701463287646277E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6668110681871591E+000                 -2.3173634625424139E+001                 -9.8999999999999986E+001                  5.6668110681871591E+000                  4.7152906736005740E+000                  6.6468140796953335E+005                  5.8226135311448877E+000                  1.0039842548239226E+000                  4.2799208437651952E+000                  1.9051134527831298E+004                  1.9828580330306064E+019                  6.0646145537912188E-005                  1.1650528244228207E-004                  5.2054579814000201E-001                  4.2471024788194040E+002                  5.3600813800540756E+001                  7.6522695145856652E+000                  4.1261027122687061E-001                  1.6423291614234053E+001                  5.9404983054589044E-001                  8.7568999622804333E-001                  1.2292948379946353E+000                  7.5137999210669393E-001                  2.4830090645103034E-001                  3.7146920012795595E-005                  1.4795638512919213E-004                  7.5138293947899981E-001                  2.4830083275499976E-001                  5.4416641745078589E-005                  1.5940386252035140E-005                  1.4800165599888199E-004                  5.3193674865333207E+001                  1.7578356851886944E+001                  1.9780267767499675E+000                  5.6667221389670388E+000                 -2.3173634625424139E+001                 -8.9536496921653706E-008                                        0                                        0                  2.3264833333333335E+000                  9.0000000000000000E+000                  2.6148104691228820E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.5980468861577609E-002                 -2.4420417309777349E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  2.0114954049602826E+041                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  2.0141295246931635E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
