                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      4.2476747062999998E+001      3.1622776600000039E-004      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot               log_total_angular_momentum                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_n14                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          runtime_minutes                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                              lg_mdot_edd                             mdot_edd_eta                  lg_accretion_luminosity                                  bh_spin                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  2.3713737056628132E+000                  4.2476747062999998E+001                  3.7500000000021205E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7108563468656030E+001                  6.3790841045083468E-001                  7.8131756284624566E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131756284624566E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8846947502814244E+034                  4.3539359759314592E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3793905909193107E+000                 -2.4344686642015464E+001                 -9.8999999999999986E+001                  5.3793905909193107E+000                  4.6707680152283153E+000                  2.4546248363534405E+005                  5.3899851241770875E+000                  8.7671536808454031E-001                  4.3126098676271942E+000                  2.0540445920329472E+004                  1.1033452307395826E+019                  6.0600660498804870E-005                  1.5368789754394488E-004                  3.9431084942255995E-001                  3.1669396595844660E+002                  5.3132718569348079E+001                  7.6261920831876449E+000                  5.4081071936319780E-001                  1.6456100824759044E+001                  5.9516380011659564E-001                  8.7569135312056556E-001                  1.2292907637142947E+000                  7.5138270619801106E-001                  2.4830083581602885E-001                  5.3034155666854645E-005                  1.4799906605133663E-004                  7.5138293947900370E-001                  2.4830083275499984E-001                  5.4416641744385729E-005                  1.5940386251832198E-005                  1.4800165599699740E-004                  3.1916296549290809E+001                  1.0547011753733244E+001                  1.7537051178654821E+000                  5.3792877537163619E+000                 -2.4344686642015464E+001                  2.1357625045159884E-008                                        0                                        0                  2.1429000000000000E+000                  1.0000000000000000E+000                  2.3713737056628132E+000                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6335605435708448E-002                 -2.4278510157370953E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                 -2.6341197328807985E+038                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.8613160966087676E+000                  4.2476747062999998E+001                  3.9618929907015021E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7101458560570485E+001                  6.3790841045083468E-001                  7.8131756236586006E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131756236586006E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8712981234139900E+034                  4.3434646286647595E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3688293396944227E+000                 -2.4344491959325509E+001                 -9.8999999999999986E+001                  5.3688293396944218E+000                  4.6707705341819947E+000                  2.4546598401862834E+005                  5.3899913173284126E+000                  8.7671342675284369E-001                  4.3126137502905877E+000                  2.0540629556081880E+004                  1.1033652365221016E+019                  6.0602303375140331E-005                  1.5368880819893461E-004                  3.9431920267467241E-001                  3.1670112985657215E+002                  5.3132718486162346E+001                  7.6261957572323249E+000                  5.4082210213282678E-001                  1.6456115806037115E+001                  5.9516374354992752E-001                  8.7569124145943189E-001                  1.2292910999714366E+000                  7.5138248283222575E-001                  2.4830083903922107E-001                  5.1712184207188344E-005                  1.4799653376667681E-004                  7.5138293947900359E-001                  2.4830083275499984E-001                  5.4416641744385729E-005                  1.5940386251832195E-005                  1.4800165599699737E-004                  3.1916289870277065E+001                  1.0547011849523530E+001                  1.7584064999747901E+000                  5.3687228237239806E+000                 -2.4344491959325509E+001                 -6.2865125187853730E-009                                        0                                        0                  2.1658833333333334E+000                  2.0000000000000000E+000                  4.8613160966087676E+000                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6322585365276834E-002                 -2.4282871702130445E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  9.3682367602291648E+039                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  9.6316487335172451E+039                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.4757556071020206E+000                  4.2476747062999998E+001                  4.1737859814008832E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7090574219154036E+001                  6.3737048835014587E-001                  7.8131756069393627E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131756069393627E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8572750283329028E+034                  4.3324871021285376E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3578026200950282E+000                 -2.4344190014854423E+001                 -9.7578985978556965E+000                  5.3578026200950282E+000                  4.6707736624915484E+000                  2.4546920981334080E+005                  5.3899970245780091E+000                  8.7671002375853513E-001                  4.3126205562792048E+000                  2.0540951458367548E+004                  1.1033705953915554E+019                  6.0603548472565917E-005                  1.5369044584876153E-004                  3.9432310236232410E-001                  3.1670515230177779E+002                  5.3132718262487082E+001                  7.6262014544238275E+000                  5.4083979765047629E-001                  1.6456139099471709E+001                  5.9516360269190471E-001                  8.7569112731704146E-001                  1.2292914435835154E+000                  7.5138225450205687E-001                  2.4830084264459426E-001                  5.0362660867086177E-005                  1.4799387833705545E-004                  7.5138293947900359E-001                  2.4830083275499984E-001                  5.4416641744385729E-005                  1.5940386251832195E-005                  1.4800165599699737E-004                  3.1916283034102825E+001                  1.0547011956825775E+001                  1.7632699945305690E+000                  5.3576921341772703E+000                 -2.4344190014854423E+001                 -1.0494846524455348E-008                                        0                                        0                  2.1888000000000001E+000                  3.0000000000000000E+000                  7.4757556071020206E+000                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6302239575392574E-002                 -2.4290517083235128E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  2.1271793231078172E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  2.1535205204366252E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.0220917093119937E+001                  4.2476747062999998E+001                  4.3856789721002643E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7076052138202062E+001                  6.3737048835014587E-001                  7.8131756013223550E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131756013223550E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8425691127535120E+034                  4.3209672746874826E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3462627459659551E+000                 -2.4343767843240439E+001                 -9.8999999999999986E+001                  5.3462627459659551E+000                  4.6707778040774404E+000                  2.4547296757084984E+005                  5.3900036729102387E+000                  8.7670506475286580E-001                  4.3126304742905432E+000                  2.0541420558768823E+004                  1.1033771286875642E+019                  6.0605291896882729E-005                  1.5369287116685532E-004                  3.9432822342113688E-001                  3.1671064535856618E+002                  5.3132717820478938E+001                  7.6262094196465151E+000                  5.4086455886070128E-001                  1.6456171703202639E+001                  5.9516336727628794E-001                  8.7569101046501607E-001                  1.2292917952236577E+000                  7.5138202075057481E-001                  2.4830084667746993E-001                  4.8983108823849659E-005                  1.4799108613940308E-004                  7.5138293947900370E-001                  2.4830083275499984E-001                  5.4416641744385729E-005                  1.5940386251832195E-005                  1.4800165599699737E-004                  3.1916276045409997E+001                  1.0547012076723504E+001                  1.7683096298027381E+000                  5.3461479600545667E+000                 -2.4343767843240439E+001                 -1.4565056690190104E-008                                        0                                        0                  2.2117333333333336E+000                  4.0000000000000000E+000                  1.0220917093119937E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6274025557799412E-002                 -2.4301658190098170E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  3.8064631924570627E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  3.8328043897858707E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.3103336653438747E+001                  4.2476747062999998E+001                  4.5975719627996448E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7058518914121535E+001                  6.3683256624945717E-001                  7.8131755957053474E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131755957053474E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8271989958944044E+034                  4.3089179105111101E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3342056273064555E+000                 -2.4343212093553824E+001                 -9.5818073388000169E+000                  5.3342056273064564E+000                  4.6707830708320017E+000                  2.4547742540019142E+005                  5.3900115596976299E+000                  8.7669847463743800E-001                  4.3126436545213993E+000                  2.0542043971648076E+004                  1.1033881269365916E+019                  6.0607735769405937E-005                  1.5369613253182166E-004                  3.9433575666725601E-001                  3.1671860936107163E+002                  5.3132717065166020E+001                  7.6262199050140929E+000                  5.4089716621003758E-001                  1.6456214648876998E+001                  5.9516302628950324E-001                  8.7569089116178633E-001                  1.2292921540981832E+000                  7.5138178209463624E-001                  2.4830085117128181E-001                  4.7576827731713676E-005                  1.4798815419395168E-004                  7.5138293947900359E-001                  2.4830083275499984E-001                  5.4416641744385729E-005                  1.5940386251832195E-005                  1.4800165599699740E-004                  3.1916268909385266E+001                  1.0547012210373984E+001                  1.7735224676581316E+000                  5.3340861842599869E+000                 -2.4343212093553824E+001                 -1.8433635246910942E-008                                        0                                        0                  2.2346666666666670E+000                  5.0000000000000000E+000                  1.3103336653438747E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6236990001157134E-002                 -2.4316463618622549E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  5.9937758397309922E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  6.0201170370597998E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.6129877191773499E+001                  4.2476747062999998E+001                  4.8094649534990258E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7037375176243650E+001                  6.3629464414876846E-001                  7.8131755900883397E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131755900883397E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8110704760805592E+034                  4.2962494089640874E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3215908707142443E+000                 -2.4342508368049447E+001                 -9.8999999999999986E+001                  5.3215908707142443E+000                  4.6707896313509627E+000                  2.4548278386133994E+005                  5.3900210396924013E+000                  8.7669009359690075E-001                  4.3126604166024736E+000                  2.0542836830101904E+004                  1.1034027616966629E+019                  6.0610879355623776E-005                  1.5370031153574723E-004                  3.9434548770677780E-001                  3.1672892343485864E+002                  5.3132715882022779E+001                  7.6262331823011751E+000                  5.4093846332767637E-001                  1.6456269050076656E+001                  5.9516256817814750E-001                  8.7569076933182055E-001                  1.2292925204167320E+000                  7.5138153838303212E-001                  2.4830085617540401E-001                  4.6143200253478732E-005                  1.4798507058641310E-004                  7.5138293947900359E-001                  2.4830083275499984E-001                  5.4416641744385736E-005                  1.5940386251832195E-005                  1.4800165599699737E-004                  3.1916261632369693E+001                  1.0547012359034968E+001                  1.7789198521560636E+000                  5.3214663689395296E+000                 -2.4342508368049447E+001                 -2.2326142200362533E-008                                        0                                        0                  2.2576499999999999E+000                  6.0000000000000000E+000                  1.6129877191773499E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6190164495515278E-002                 -2.4335292235399368E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  8.7062237368677192E+040                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  8.7325649341965267E+040                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9307744757024988E+001                  4.2476747062999998E+001                  5.0213579441984058E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.7012752550133243E+001                  6.3575672204807965E-001                  7.8131755725556127E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131755725556127E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7941883721181110E+034                  4.2829913308081887E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3084145818289743E+000                 -2.4341641682604955E+001                 -9.9339898569113778E+000                  5.3084145818289752E+000                  4.6707976660269876E+000                  2.4548922305868001E+005                  5.3900324314126351E+000                  8.7667972010496886E-001                  4.3126811635863369E+000                  2.0543818219694320E+004                  1.1034187175694186E+019                  6.0614651777760289E-005                  1.5370550412661523E-004                  3.9435670888693658E-001                  3.1674106999642208E+002                  5.3132714134073396E+001                  7.6262495343066465E+000                  5.4098933256767412E-001                  1.6456336068981976E+001                  5.9516198058153891E-001                  8.7569064527281204E-001                  1.2292928932651543E+000                  7.5138129021114253E-001                  2.4830086172806567E-001                  4.4686025589160394E-005                  1.4798183194108627E-004                  7.5138293947900359E-001                  2.4830083275499984E-001                  5.4416641744385736E-005                  1.5940386251832198E-005                  1.4800165599699737E-004                  3.1916254221272780E+001                  1.0547012524046995E+001                  1.7844983346560965E+000                  5.3082845849095079E+000                 -2.4341641682604955E+001                 -2.6316948995676787E-008                                        0                                        0                  2.2805833333333334E+000                  7.0000000000000000E+000                  1.9307744757024988E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6132513536114540E-002                 -2.4358596535872742E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  1.1957777797423386E+041                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  1.1984118994752194E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  2.2644505700539053E+001                  4.2476747062999998E+001                  5.2332509348977874E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.6984424023507458E+001                  6.3521405722157520E-001                  7.8131755669277643E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131755669277643E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7765041323112756E+034                  4.2690859237329086E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2946325190141117E+000                 -2.4340595235392904E+001                 -9.8370798439033216E+000                  5.2946325190141126E+000                  4.6708073397909091E+000                  2.4549689381083261E+005                  5.3900460015125535E+000                  8.7666715762708536E-001                  4.3127062885421044E+000                  2.0545006762207428E+004                  1.1034385130812885E+019                  6.0619246413382378E-005                  1.5371180492535562E-004                  3.9437043512743242E-001                  3.1675591566031949E+002                  5.3132711658697922E+001                  7.6262692783146226E+000                  5.4105075475055375E-001                  1.6456417002736210E+001                  5.9516124998334563E-001                  8.7569051892835559E-001                  1.2292932727920640E+000                  7.5138103746600582E-001                  2.4830086788714686E-001                  4.3204965953222359E-005                  1.4797842481322485E-004                  7.5138293947900370E-001                  2.4830083275499984E-001                  5.4416641744385736E-005                  1.5940386251832201E-005                  1.4800165599699740E-004                  3.1916246684266440E+001                  1.0547012706864203E+001                  1.7902699160997066E+000                  5.2944965344232600E+000                 -2.4340595235392904E+001                 -3.0351308547861622E-008                                        0                                        0                  2.3035500000000000E+000                  8.0000000000000000E+000                  2.2644505700539053E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.6063003048722016E-002                 -2.4386817701001963E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  1.5758658884055821E+041                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  1.5785000081384630E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.6148104691228820E+001                  4.2476747062999998E+001                  5.4451439255971679E-001                  3.4926829700943337E+001                 -9.8999999999999986E+001                                     2043                  2.6952605361166011E+001                  6.3412872756856620E-001                  7.8131755501976857E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  7.8131755501976857E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7579944868979906E+034                  4.2545116860456121E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2802416286261726E+000                 -2.4339351514224120E+001                 -9.8999999999999986E+001                  5.2802416286261726E+000                  4.6708188131871937E+000                  2.4550592672657923E+005                  5.3900619808320220E+000                  8.7665220049424997E-001                  4.3127362028077751E+000                  2.0546421953933481E+004                  1.1034615200566628E+019                  6.0624686359387620E-005                  1.5371931486248230E-004                  3.9438655712736015E-001                  3.1677343046447356E+002                  5.3132708264178319E+001                  7.6262927451414466E+000                  5.4112375603220841E-001                  1.6456513206526235E+001                  5.9516036193151123E-001                  8.7569039063887322E-001                  1.2292936579522109E+000                  7.5138078082846504E-001                  2.4830087469606180E-001                  4.1704363999182439E-005                  1.4797484540000455E-004                  7.5138293947900370E-001                  2.4830083275499984E-001                  5.4416641744385736E-005                  1.5940386251832201E-005                  1.4800165599699737E-004                  3.1916239030083727E+001                  1.0547012909033105E+001                  1.7962305398202913E+000                  5.2800991189099085E+000                 -2.4339351514224120E+001                 -3.4414258221384537E-008                                        0                                        0                  2.3264833333333335E+000                  9.0000000000000000E+000                  2.6148104691228820E+001                  1.2000000000000000E+000                  2.2986928178726110E+001                  3.6357486050574721E+002                  6.0595810084348261E+002                  9.7416536991425140E+000                  7.7159516545208309E+000                  3.5980468861577609E-002                 -2.4420417309777349E-002                  7.0794578438399995E+001                  4.2476747062999998E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.1912464987308548E+054                  2.0114954049602826E+041                  0.0000000000000000E+000                 -2.6341197328807985E+038                  0.0000000000000000E+000                  2.0141295246931635E+041                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
