                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        9669      1.5848931924600000E+001      8.3206892604200000E+000      3.1622776601700002E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot 
                               5          4.7943350434134192E+002          3.1622788542694407E+003          2.6206567650474994E+003          1.4439839785433042E+001          2.7504451959399798E+001          5.1506670884479178E+000          3.5760296691083417E+000          1.1417181376015678E+003          8.5102425867566023E+002          1.5848927985075642E+001          8.3206886366316262E+000         -8.1170495440392525E+000         -8.9255202857221114E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1170495440392525E+000         -8.9255202857221114E+000          1.0000000000000009E-002          8.3032405677652526E+054         -6.8263439826023221E+037 
                              10          1.3276323229150194E+003          3.1622806246479772E+003          2.6206574986250912E+003          1.4439838175478771E+001          2.7504441828257459E+001          5.2103790744404304E+000          3.6025040488631541E+000          1.1417183972896410E+003          8.5102455154398831E+002          1.5848922147193575E+001          8.3206877089254458E+000         -8.1855677589186193E+000         -8.9819085659179638E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1855677589186193E+000         -8.9819085659179638E+000          1.0000000000000009E-002          8.3032389077956943E+054         -5.8895614174803334E+037 
                              15          3.1624643071192731E+003          3.1622840504551177E+003          2.6206589181487984E+003          1.4439835224402719E+001          2.7504422059512599E+001          5.2481686494175692E+000          3.6373577866808762E+000          1.1417188957573724E+003          8.5102512195638928E+002          1.5848910755822473E+001          8.3206860084227507E+000         -8.2083426662603820E+000         -9.0616310924576329E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.2083426662603820E+000         -9.0616310924576329E+000          1.0000000000000009E-002          8.3032357405156496E+054         -5.3365784991403994E+037 
                               5          4.7943350434134192E+002          3.1622788542694407E+003          2.6206567650474994E+003          1.4439839785433042E+001          2.7504451959399798E+001          5.1506670884479178E+000          3.5760296691083417E+000          1.1417181376015678E+003          8.5102425867566023E+002          1.5848927985075642E+001          8.3206886366316262E+000         -8.1170495440392525E+000         -8.9255202857221114E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1170495440392525E+000         -8.9255202857221114E+000          1.0000000000000009E-002          8.3032405677652526E+054         -6.8263439826023221E+037 
                              10          1.3276323229150194E+003          3.1622806246479772E+003          2.6206574986250912E+003          1.4439838175478771E+001          2.7504441828257459E+001          5.2103790744404304E+000          3.6025040488631541E+000          1.1417183972896410E+003          8.5102455154398831E+002          1.5848922147193575E+001          8.3206877089254458E+000         -8.1855677589186193E+000         -8.9819085659179638E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1855677589186193E+000         -8.9819085659179638E+000          1.0000000000000009E-002          8.3032389077956943E+054         -5.8895614174803334E+037 
                              15          3.1624643071192731E+003          3.1622840504551177E+003          2.6206589181487984E+003          1.4439835224402719E+001          2.7504422059512599E+001          5.2481686494175692E+000          3.6373577866808762E+000          1.1417188957573724E+003          8.5102512195638928E+002          1.5848910755822473E+001          8.3206860084227507E+000         -8.2083426662603820E+000         -9.0616310924576329E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.2083426662603820E+000         -9.0616310924576329E+000          1.0000000000000009E-002          8.3032357405156496E+054         -5.3365784991403994E+037 
                              20          7.1340502229831282E+003          3.1622922319964837E+003          2.6206623082640344E+003          1.4439829815569324E+001          2.7504373208827023E+001          5.2314047280333886E+000          3.6784951787863704E+000          1.1417200458326415E+003          8.5102652104621154E+002          1.5848882606523558E+001          8.3206828916824804E+000         -8.1049014838897069E+000         -9.1233807424270061E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.1049014838897069E+000         -9.1233807424270061E+000          1.0000000000000009E-002          8.3032286240561844E+054         -6.0494723898725742E+037 
                              25          1.3269534954226901E+004          3.1623077690830241E+003          2.6206687462211949E+003          1.4439821502204031E+001          2.7504278481689621E+001          5.1304051425696864E+000          3.7397880760769944E+000          1.1417221816357776E+003          8.5102922197332316E+002          1.5848828021769396E+001          8.3206781012573838E+000         -8.0385614313015701E+000         -9.0834936840103424E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0385614313015701E+000         -9.0834936840103424E+000          1.0000000000000009E-002          8.3032156445005565E+054         -6.9404332731885999E+037 
                              30          2.0531533505997886E+004          3.1623264939688547E+003          2.6206765050558956E+003          1.4439808755262382E+001          2.7504167047951249E+001          5.0792438999992138E+000          3.7701361139931970E+000          1.1417248228311275E+003          8.5103241575551147E+002          1.5848763810146364E+001          8.3206707560658142E+000         -8.0650074057488013E+000         -8.9357054430457534E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0650074057488013E+000         -8.9357054430457534E+000          1.0000000000000009E-002          8.3031992568705132E+054         -7.3250131544459390E+037 
                              35          2.9031726652667214E+004          3.1623483647834587E+003          2.6206855674071903E+003          1.4439788476545466E+001          2.7504042284051437E+001          5.0736825449085456E+000          3.7289012852057772E+000          1.1417280405231197E+003          8.5103602498770056E+002          1.5848691917266615E+001          8.3206590708293184E+000         -8.0755880806223939E+000         -8.8221611568182485E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0755880806223939E+000         -8.8221611568182485E+000          1.0000000000000009E-002          8.3031786438595581E+054         -7.9250296790941237E+037 
                              40          4.0839833119231298E+004          3.1623792417993795E+003          2.6206983614983405E+003          1.4439755531388828E+001          2.7503870461928653E+001          5.0782588334575651E+000          3.6307420047050942E+000          1.1417326895183692E+003          8.5104102346652360E+002          1.5848592907958221E+001          8.3206400867906005E+000         -8.0766321159575654E+000         -8.7915839026587914E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0766321159575654E+000         -8.7915839026587914E+000          1.0000000000000009E-002          8.3031483640142291E+054         -8.1413049407745111E+037 
                              45          6.7185726119168932E+004          3.1624470012268375E+003          2.6207264378326840E+003          1.4439689505347120E+001          2.7503487137851078E+001          5.0885891247341997E+000          3.5399066500015945E+000          1.1417427371556844E+003          8.5105213343771652E+002          1.5848372024532686E+001          8.3206020404786329E+000         -8.0765016050293674E+000         -8.8706440764421135E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0765016050293674E+000         -8.8706440764421135E+000          1.0000000000000009E-002          8.3030836289322174E+054         -7.5851361431901596E+037 
                              50          1.2897762324164974E+005          3.1626033922027714E+003          2.6207912377627599E+003          1.4439552064512618E+001          2.7502587518713536E+001          5.1114886505273356E+000          3.5386058537209459E+000          1.1417655588100356E+003          8.5107811106959252E+002          1.5847853635366212E+001          8.3205228425485274E+000         -8.0760880553900574E+000         -8.8948220080175044E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0760880553900574E+000         -8.8948220080175044E+000          1.0000000000000009E-002          8.3029383053782273E+054         -7.4385685688059620E+037 
                              55          2.0907510605191428E+005          3.1628063129608286E+003          2.6208753147093626E+003          1.4439374712028531E+001          2.7501419377371171E+001          5.1391921692966918E+000          3.5450821294095189E+000          1.1417951454588163E+003          8.5111183867875650E+002          1.5847180515029775E+001          8.3204206461413985E+000         -8.0750949023277148E+000         -8.8938494685489875E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0750949023277148E+000         -8.8938494685489875E+000          1.0000000000000009E-002          8.3027500212539737E+054         -7.4556083665344501E+037 
                              60          2.9025521937160229E+005          3.1630125565614394E+003          2.6209607656576018E+003          1.4439194633699097E+001          2.7500232061975833E+001          5.1655211157206127E+000          3.5513868450693544E+000          1.1418252112637010E+003          8.5114612147113951E+002          1.5846496345980510E+001          8.3203168790050785E+000         -8.0737060789875450E+000         -8.8930815239603671E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0737060789875450E+000         -8.8930815239603671E+000          1.0000000000000009E-002          8.3025587129353454E+054         -7.4758325204184414E+037 
                              65          3.7460788146212441E+005          3.1632276216853329E+003          2.6210498685738635E+003          1.4439007173964097E+001          2.7498993783739003E+001          5.1914493679715408E+000          3.5577969090041917E+000          1.1418565541412574E+003          8.5118187663467029E+002          1.5845782810482916E+001          8.3202088584395639E+000         -8.0719666286082177E+000         -8.8922632843816203E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -8.0719666286082177E+000         -8.8922632843816203E+000          1.0000000000000009E-002          8.3023593205650590E+054         -7.5003377427241455E+037 
